parent_skill_title,parent_skill_description
Account Management,"Manage, maintain and grow the sales and relationships with a specific customer or set of accounts. This includes in-depth customer engagement, relationship-building and provision of quality solutions and service to address customers' needs efficiently and generate revenue."
Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements
Accounting and Tax Systems,Implement accounting or tax software systems in the organisation
Analytics and Computational Modelling,"Develop, select and apply algorithms and advanced computational methods to enable systems or software agents to learn, improve, adapt and produce desired outcomes or tasks which also involves the interpretation of data, including the application of data modelling techniques to explore and address a specific issue or requirement"
Asset and Liability Management,"Address risks faced by financial institutions or banks due to mismatch between assets and liabilities by performing capital, liquidity, interest rate and balance sheet management."
Attribution Analysis,"Analyse portfolio and fund manager performance, identify specific portfolio performance factors, and apply attribution analysis methods"
Audit Compliance,Ensure compliance with corporate policies and guidelines
Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements
Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities
Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised"
Behavioural Finance,"Examine the psychological, social, cognitive and emotional factors in investment"
Benchmarking,Compare organisational performance to other organisations and industries
Big Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence
Block Trading,"Structure block trades, perform due diligence, bid on block trades, and finalise transactions"
Book Building,"Identify price options for shares and other securities based on potential investors' interest levels, as determined by the generation, capture and record of investor demand and supply of subscription rates"
Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry"
Business Continuity,Develop and implement business continuity plans for organisational preparedness of disruptive events.
Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events
Business Environment Analysis,"Determine the viability of entering new markets, and develop adaptation strategies to customise products and services for the markets"
Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements
Business Needs Analysis,"Identify and scope business requirements and priorities through rigorous information gathering and analysis as well as clarification of the solutions, initiatives and programmes to enable effective delivery. This also involves the development of a compelling and defensible business case and the articulation of the potential impact of the solution to the business"
Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation
Business Opportunities Development,Develop and implement plans to enhance organisation's business performance and growth
Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps"
Business Planning,Design and formulate business plans to achieve business goals
Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency"
Business Process Management,Manage and optimise an organisation's business processes for efficiency and effectiveness
Business Process Re-engineering,"Analyse business processes and workflows within the organisation and identification of new approaches to completely redesign business activities or optimise performance, quality and speed of services or processes including exploration of automating and streamlining processes, evaluation of associated costs and benefits of redesigning business processes, as well as identification of potential impact, change management activities and resources required"
Business Requirements Mapping,Map business requirements to existing processes to identify gaps or opportunities for possible solutions and evaluate impact of solutions against requirements to propose adjustments as needed
Business Risk Assessment,"Articulate, communicate and assess organisational risk appetite frameworks and risk statements across the organisation"
Capital Expenditure and Investment Evaluation,"Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options"
Capital Management,"Calculate capital adequacy ratios to determine capital buffers necessary for the bank or financial institution, while optimising returns on capital based on capital allocation strategies"
Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives
Carbon Markets and Decarbonisation Strategies Management,"Lead organisation's strategy and policies in response to current and projected carbon policy, market developments and decarbonisation strategies, and provide support for the organisation and clients in their efforts to decarbonise and become net-zero"
Cash Flow Management,Manage and maintain business units' cash flow by consolidating data and performing analysis on cash inflow and outflow
Cash Flow Reporting,Maintain business units' cash flow reports by consolidating data and performing analysis on cash inflow and outflow
Change Management,Manage changes and developments within teams and organisation
Channel Management,Manage new and existing distribution channels for financial services products and services to ensure channel performance and effectiveness
Claims Management,"Coordinate and carry out timely and accurate adjudication, validation and disbursement of claims proceeds to creditors"
Client Investment Suitability,"Determine client suitability, financing needs, risk management requirements, investment objectives and propose relevant sales opportunities"
Climate Change Management,"Synthesise information on climate change and climate policy developments to shape the organisation's strategies and policies, products and/or services"
Climate Reporting,"Perform data collection and analysis for the preparation of climate-related disclosures and reports on both the impact of an organisation's operations on climate change and the environment, and the impact of climate change on an organisation. Prepare disclosures and reports based on relevant reporting frameworks and standards, providing accurate and transparent climate-related information, as well as guidelines for climate risk mitigation."
Collateral Management,"Reduce risk byÂ reviewing collateral documentation for completeness and validity, performing collateral valuation and margin call calculations and resolving reconciliation breaks"
Compliance Mindset Development,Design and deliver training materials on regulatory compliance topics to spread awareness and encourage adoption of a compliance mindset and behaviours
Conflict Management,Build consensus and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively and maintain the best interests of the organisation
Continuous Improvement Management,"Apply continuous improvement plans to optimise cost, task efficiency and effectiveness of processes and procedures"
Contract and Vendor Management,"Manage relationships with cast, crew, vendors and clients by establishing formal contracts and evaluating performance against established expectations"
Corporate Governance,"Develop corporate governance frameworks, establish and implement operationalisation of policies to maintain compliance to statutory laws and regulatory policies"
Corporate and Business Law,Respond to the changes in business laws and regulations
Cost Management,"Analyse, plan and manage costs for cost efficiency and expense reduction"
