description,skills,status
"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",Financial Statements Review; Tags: Others | Financial Reporting; Tags: Others | Financial Planning and Analysis; Tags: Others,success
"This course covers major concepts, tools and techniques in managerial accounting. It provides students with an appreciation of how managerial accounting evolves with changes in the business environment and why the usefulness of managerial accounting systems depends on the organisational context. The emphasis is on the use of managerial accounting information for decision-making, planning, and controlling activities. Students are introduced to both traditional and contemporary managerial accounting concepts and techniques.",Management Decision Making; Tags: Others | Audit and Compliance; Tags: Others | Organisational Strategy and Policy Realisation; Tags: Others,success
"The course covers financial accounting at an intermediate level, with special reference to accounting for property, plant & equipment, investment properties, assets held for sale, intangible assets, asset impairment, changes in accounting policies and estimates, post-balance-sheet events, revenue accounting, segment reporting and interim reporting.",Financial Reporting; Tags: Others | Financial Planning and Analysis; Tags: Others | Financial Statements Review; Tags: Others | Property Operations Management; Tags: Others,success
"The course covers financial accounting at an intermediate level, with special reference to accounting for financial instruments, deferred tax, leases, provisions, employee benefits, and share-based compensation.",Financial Reporting; Tags: Others,success
"This course aims to help students understand the role of information systems in accounting and other areas of business. In particular, it examines the innovative applications of information systems to streamline business operations and enhance competitive advantage. Students will understand various accounting/business cycles and learn about how information systems are used in different functional areas such as finance/accounting, marketing, operations and supply chain, and HR/management.",Marketing Management; Tags: Others | Operation Management; Tags: Others | Accounting Standards; Tags: Others | Human Resource Advisory; Tags: Others | Supply Chain Management; Tags: Others | Department Financial Management; Tags: Others | Systems Architecture; Tags: Others | Job Analysis and Evaluation; Tags: Others | Portfolio Management; Tags: CASL,success
"In this course we examine how companies are using sustainability reporting and metrics to disclose their environmental social and governance (ESG) performance, and explore how to assess the credibility and reliability of these claims. We learn to evaluate the sustainability performance of companies based on the information provided in their reports and assess the credibility and reliability of sustainability metrics and reporting frameworks. We explore the process of analyzing sustainability reporting metrics and identify best practices for ensuring reliability of sustainability reports. Towards the end students will be equipped to make informed decisions based on sustainability metrics and performance analysis.",Sustainability Assurance; Tags: CASL,success
This course builds on the foundation laid by ACC1701 Accounting for decision makers and provides a deeper understanding of the conceptual and theoretical framework for financial accounting. It is designed to provide students with a comprehensive understanding of the theoretical and practical issues pertaining to the preparation of general purpose financial statements in accordance with the prescribed accounting standards in Singapore. Students should also acquire the capacity to understand the regulatory environment in Singapore and the basics of official pronouncements of international and national accounting standard-setters such as the IASB and ACRA.,Accounting Standards; Tags: Others | Audit and Compliance; Tags: Others | Regulatory Compliance; Tags: Others | Business Needs Analysis; Tags: Emerging | Financial Transactions; Tags: Others,success
"This course equips students with a comprehensive understanding of the integration between the business processes and systems applied within transactional cycles and the assurance practice. Students will examine how these business processes and systems are applied across key business transaction cycles—revenue, expenditure, and production cycles. While emphasizing the importance of proper evidencing and implementation of internal controls in business processes, this course introduces assurance fundamentals - focusing on auditing principles, risk assessment, and the regulatory and governance framework in Singapore. Topics include audit planning, testing of controls, evaluating evidence, and addressing fraud risks; with practical applications in the audit of specific business cycles and their related accounts. The course also highlights the ethical responsibilities and professional conduct of auditors when in the field. By the end of the course, students should possess a strong grasp of business processes and systems, foundational knowledge and skills related to the audit of transaction cycles, and an appreciation of ethical and regulatory compliance when carrying out an audit of transactions and their associated accounts.",Auditing and Assurance Standards; Tags: CASL | Audit and Compliance; Tags: Others | Transactional Accounting; Tags: Others | Audit Management; Tags: Others | Fraud Risk Management; Tags: Others | Business Process Management; Tags: Others | Business Process Re-engineering; Tags: Emerging | Risk Assessment; Tags: Others | Regulatory Strategy; Tags: Others | Evidence Management; Tags: CASL | Internal Controls; Tags: CASL | Professional Standards; Tags: Others,success
"This course provides the knowledge and understanding of the audit process required by assurance and attestation engagements. It aims to ensure students acquire the necessary attitude, skills, and knowledge for a career in auditing, in the accounting profession or in business management.",Audit Management; Tags: Others | Audit and Compliance; Tags: Others | Accounting Standards; Tags: Others,success
"The primary aim of this course is to develop an appreciation and understanding of the legal framework for companies. It covers the entire life-span of a company from its formation to its dissolution. It delves into the legal obligations and implications in operating a company from an insider's perspective of shareholders and directors, as well as from an outsider's perspective of creditors. A secondary objective is to introduce pertinent provisions of securities legislation.",Business Needs Analysis; Tags: Emerging | Legal Advocacy; Tags: Others,success
